,title,date,month,year,source,order_month,label,url
215,Penculikan Anak SD di Kudus ,2020-01-01,January,2020,kominfo,1,,
216,Uji Coba Tilang e-CCTV di Jalanan Pare Mulai Awal Februari 2020 ,2020-01-01,January,2020,kominfo,1,,
217,Foto Rumah Sakit Jiwa yang Terbengkalai ,2020-01-01,January,2020,kominfo,1,,
218,Anies Baswedan Dinobatkan sebagai Gubernur Terbaik di Dunia ,2020-01-01,January,2020,kominfo,1,,
219,Video Penjual Cilok Dilabrak Orang Tua Pacar karena Beda Status ,2020-01-01,January,2020,kominfo,1,,
220,Pelajar yang Bunuh Begal Didakwa Hukuman Seumur Hidup ,2020-01-01,January,2020,kominfo,1,,
221,Jenis Suara Sirene Ambulans Memiliki Fungsi yang Berbeda-beda ,2020-01-01,January,2020,kominfo,1,,
222,Foto Korban Begal di Sowak Simpur ,2020-01-01,January,2020,kominfo,1,,
223,Ada Virus Berbahaya di RSUP DSardjito ,2020-01-01,January,2020,kominfo,1,,
224,Ibu Muda Rela Dinikahi Siapa Saja yang Biayai Pengobatan Anaknya di RSUD Jombang ,2020-01-01,January,2020,kominfo,1,,
225,"Wardah Mensponsori Kegiatan ""Bahaya Feminisme dan LGBT"" ",2020-01-01,January,2020,kominfo,1,,
226,Pelaku Perampok di Warteg Pesanggrahan Telah Tertangkap ,2020-01-01,January,2020,kominfo,1,,
227,MUI Keluarkan Fatwa Haram kepada Netflix ,2020-01-01,January,2020,kominfo,1,,
228,Siring Gunakan Dana Desa Tahun 2019 ,2020-01-01,January,2020,kominfo,1,,
229,Kebakaran di SPBU Selaganggeng ,2020-01-01,January,2020,kominfo,1,,
230,Festival Makan Durian Gratis Bersama Pemprov Banten ,2020-01-01,January,2020,kominfo,1,,
231,Wanita Tewas Membeku Gara-gara Tidur Malam Pakai Kipas Angin ,2020-01-01,January,2020,kominfo,1,,
232,Naik Motor Bonceng Anak di bawah Umur Akan Didenda Rp3 juta ,2020-01-01,January,2020,kominfo,1,,
233,Bantuan Air PDAM Malang Diambil dari Air Sungai ,2020-01-01,January,2020,kominfo,1,,
234,Penculikan Anak di Pasangkayu ,2020-01-01,January,2020,kominfo,1,,
235,Surat Undangan Rakor Penetapan Calon Penerima & Penandatanganan Perjanjian ,2020-01-01,January,2020,kominfo,1,,
236,Penerapan E-Tilang di Banjarbaru dan Bangkalan ,2020-01-01,January,2020,kominfo,1,,
237,"Tilang e-CCTV di Simpang 4 Lampu Merah SMPN 1, Masjid Agung dan Bank Kalteng ",2020-01-01,January,2020,kominfo,1,,
238,Virus Corona Diduga Sudah Menyebar dan Masuk ke Indonesia di Gedung BRI 2 ,2020-01-01,January,2020,kominfo,1,,
239,Spanduk Tolak Mengurusi Jenazah Pendukung Pembangunan Gereja di Pondok Jagung ,2020-01-01,January,2020,kominfo,1,,
240,Jurus Omnibus Law Jokowi Hapuskan Kewajiban Sertifikasi Halal ,2020-01-01,January,2020,kominfo,1,,
241,Menteri Tito Bisa Memecat Anies karena Merevitalisasi Monas Tanpa Izin ,2020-01-01,January,2020,kominfo,1,,
242,Akun Palsu Di Facebook Mengaku Sebagai Anggota Polri di Polres Kepahiang ,2020-01-01,January,2020,kominfo,1,,
243,Email Palsu Mengatasnamakan Ditjen Pajak ,2020-01-01,January,2020,kominfo,1,,
244,Informasi Terkait PDSS Mengatasnamakan Humas PTN dan Panitia LTMPT ,2020-01-01,January,2020,kominfo,1,,
245,Informasi Jasa Pembuatan SIM Resmi Kepolisian dengan Daftar Harganya ,2020-01-01,January,2020,kominfo,1,,
246,Himbauan Kemenkes RI Tentang Merebaknya Virus Influenza ,2020-01-01,January,2020,kominfo,1,,
